Date,Open,High,Low,Close,Adj Close,Volume
2007-09-19,0.825000,0.900000,0.600000,0.850000,0.850000,660911
2007-09-20,0.825000,0.825000,0.650000,0.675000,0.675000,267654
2007-09-21,0.675000,0.750000,0.675000,0.750000,0.750000,339805
2007-09-24,0.750000,0.750000,0.650000,0.650000,0.650000,191810
2007-09-25,0.675000,0.700000,0.625000,0.625000,0.625000,198817
2007-09-26,0.625000,0.700000,0.600000,0.700000,0.700000,124282
2007-09-27,0.700000,0.700000,0.625000,0.675000,0.675000,102000
2007-09-28,0.700000,0.700000,0.625000,0.625000,0.625000,103650
2007-10-01,0.625000,0.625000,0.625000,0.625000,0.625000,0
2007-10-02,0.625000,0.625000,0.625000,0.625000,0.625000,0
2007-10-03,0.625000,0.625000,0.625000,0.625000,0.625000,0
2007-10-04,0.625000,0.650000,0.550000,0.550000,0.550000,63298
2007-10-05,0.550000,0.600000,0.550000,0.575000,0.575000,21900
2007-10-08,0.600000,0.600000,0.600000,0.600000,0.600000,2000
2007-10-09,0.575000,0.575000,0.550000,0.550000,0.550000,6440
2007-10-10,0.525000,0.550000,0.525000,0.550000,0.550000,15940
2007-10-11,0.550000,0.550000,0.525000,0.525000,0.525000,44600
2007-10-12,0.525000,0.525000,0.500000,0.500000,0.500000,113714
2007-10-15,0.500000,0.550000,0.500000,0.550000,0.550000,146545
2007-10-16,0.550000,0.550000,0.525000,0.525000,0.525000,16100
2007-10-17,0.500000,0.500000,0.500000,0.500000,0.500000,22117
2007-10-18,0.475000,0.525000,0.455000,0.455000,0.455000,36645
2007-10-19,0.450000,0.480000,0.450000,0.480000,0.480000,88251
2007-10-22,0.480000,0.480000,0.435000,0.450000,0.450000,68639
2007-10-23,0.450000,0.500000,0.450000,0.500000,0.500000,10576
2007-10-24,0.550000,0.550000,0.525000,0.525000,0.525000,40000
2007-10-25,0.500000,0.500000,0.495000,0.495000,0.495000,8000
2007-10-26,0.485000,0.550000,0.485000,0.550000,0.550000,13358
2007-10-29,0.550000,0.550000,0.550000,0.550000,0.550000,202200
2007-10-30,0.550000,0.550000,0.550000,0.550000,0.550000,1000
2007-10-31,0.525000,0.525000,0.525000,0.525000,0.525000,16500
2007-11-01,0.500000,0.500000,0.500000,0.500000,0.500000,304000
2007-11-02,0.500000,0.500000,0.500000,0.500000,0.500000,0
